observationId,dancerId,siteNo,hiveNo,sampY,sampM,sampD,sampT,waggleDuration,waggleLength,waggleOrientation,waggleDirection,pollenColor,pollenAbundance
810,11969,1,8,2018,4,29,15,1.83,,-3.11697674,6.739013672,,
1541,65328,6,20,2019,3,9,12,1.451,,-5.65488,8.381843567,,
1004,43739,2,8,2019,5,15,13,1.85,,0.555921946,2.847454548,,
1557,39693,6,20,2019,3,9,12,1.755,,-0.68068,3.322517395,,
1039,49579,1,8,2019,7,10,13,1.83,,3.14001044,-0.234827787,,
1567,51333,6,20,2019,3,9,12,1.393,,-1.78024,4.477276802,,
824,81696,1,8,2018,4,29,15,2.09,,-0.976888099,4.979873657,,
1575,82436,6,20,2019,3,9,13,2.764,,-6.07376,9.199021339,,
1115,34886,1,8,2019,7,11,12,1.59,,-1.596894514,3.951719522,,
1583,55214,6,20,2019,3,9,13,5.127,,-3.45576,6.525699615,,
832,55482,1,8,2018,4,29,15,1.42,,-0.102297694,3.752787828,,
1591,21247,6,20,2019,3,9,13,1.333,,-2.268933333,5.302102089,,
1067,62721,1,8,2019,7,10,14,1.3,,-0.598116066,3.84210062,,
1599,49432,6,20,2019,3,9,13,1.506,,-4.485506667,7.635381699,,
840,79241,1,8,2018,4,29,15,1.52,,0.752198803,2.942923307,,
1607,21786,6,20,2019,4,2,12,1.548,,0,2.878087521,,
1123,98368,1,8,2019,7,11,12,0.39,,-1.591095448,4.123455524,,
1615,54619,6,20,2019,4,2,13,5.556,,-0.558506667,3.627724409,,
848,18767,1,8,2018,4,29,15,1.47,,0.800915056,3.258538485,,
1623,36661,6,20,2019,4,2,13,2.499,,-0.89012,3.922019005,,
1043,11657,1,8,2019,7,10,13,1.46,,-0.01313121,2.910840273,,
1631,31983,6,20,2019,4,2,13,1.578,,-1.082106667,4.069494724,,
856,69942,1,8,2019,4,30,11,1.53,,-0.038954134,2.556092501,,
1639,53489,6,20,2019,5,2,12,1.229,,-1.553346667,3.929163694,,
1131,63142,1,8,2019,7,11,12,1.32,,2.558338501,0.023107113,,
1647,11613,6,20,2019,5,2,12,2.345,,-4.991653333,7.737540722,,
864,85169,1,8,2019,4,30,11,1.76,,0.003413482,2.471935272,,
1655,17355,6,20,2019,5,2,12,0.917,,-4.433146667,7.253968716,,
1075,88997,1,8,2019,7,11,12,1.4,,2.31324529,-0.050544705,,
1663,76973,6,20,2019,5,2,12,0.619,,-0.541053333,2.936004162,,
872,33147,1,8,2019,4,30,11,0.92,,-3.137918763,5.509044647,,
1671,72999,6,20,2019,5,2,12,0.775,,-4.81712,7.300881863,,
1139,85689,1,8,2019,7,11,12,1.4,,2.395671041,0.05537485,,
1679,52455,6,20,2019,5,2,12,2.237,,-1.535893333,4.375959873,,
880,13719,1,8,2019,4,30,12,1.07,,-0.028734842,2.666764021,,
1687,17924,6,20,2019,5,2,13,1.169,,-3.839733333,6.880917072,,
1695,95115,6,20,2019,5,2,13,0.927,,-5.81196,8.791469574,,
888,46525,1,8,2019,4,30,12,2.05,,3.127871558,-0.173232108,,
1703,42853,6,20,2019,5,2,13,0.911,,-0.610866667,3.73520565,,
1147,42276,1,8,2019,7,11,12,0.6,,-1.824800343,4.226595879,,
1711,34332,6,20,2019,5,20,12,0.96,,-6.12612,8.795161247,,
896,53269,1,8,2019,4,30,12,1.6,,-2.256454918,5.28853035,,
1719,61883,6,20,2019,5,20,12,1.175,,-0.57596,3.099465132,,
1083,66572,1,8,2019,7,11,12,0.87,,2.24903607,0.051334355,,
1727,61858,6,20,2019,5,20,12,0.75,,-3.473213333,5.864922047,,
904,67446,1,8,2019,4,30,12,1.58,,0.000547,2.666152716,,
1735,16344,6,20,2019,5,20,13,1.123,,-3.752466667,6.74628067,,
1155,76475,1,8,2019,7,11,12,1.4,,2.430547536,0.014910962,,
1743,25168,6,20,2019,5,20,13,1.808,,-1.431173333,4.278600693,,
912,96746,1,8,2019,4,30,12,1.4,,-0.009175374,2.776453018,,
1751,25589,6,20,2019,6,7,12,0.665,,-4.433146667,6.866744995,,
1051,62464,1,8,2019,7,10,14,2,,-2.619235969,5.894024849,,
1759,64119,6,20,2019,6,7,12,1.675,,-0.349066667,3.037775993,,
920,34753,1,8,2019,4,30,13,1.42,,2.861004345,0.999442458,,
1767,91411,6,20,2019,7,16,12,0.397500008,,5.894514267,-3.114616394,,
1163,55138,1,8,2019,7,11,12,1.23,,1.939543217,0.069908835,,
1775,88488,6,20,2019,7,16,12,0.872500002,,2.446904973,0.593862295,,
928,48989,1,8,2019,4,30,13,0.69,,-2.955995846,6.765905857,,
1783,35462,6,20,2019,8,4,12,2.066999912,,0.193697093,2.764778376,,
1091,21358,1,8,2019,7,11,12,1.09,,1.882352375,0.457306057,,
1791,95952,6,20,2019,8,4,12,0.3075,,2.394248267,0.520582497,,
936,19845,1,8,2019,4,30,13,1.17,,0.8982476,2.771793604,,
